latent_topic_0,latent_topic_1,latent_topic_2,latent_topic_3,latent_topic_4,latent_topic_5,latent_topic_6,latent_topic_7,latent_topic_8
0.047,0.036,0.35,0.0,0.21,0.0,0.037,0.063,0.0
0.377,0.024,0.007,0.0,0.163,0.008,0.01,0.0,0.117
0.0,0.26,0.0,0.459,0.0,0.0,0.0,0.006,0.0
0.291,0.258,0.0,0.0,0.0,0.456,0.0,0.041,0.0
0.0,0.284,0.0,0.0,0.0,0.02,0.0,0.0,0.0
0.154,0.023,0.331,0.0,0.313,0.016,0.074,0.0,0.213
0.014,0.295,0.021,0.0,0.0,0.0,0.19,0.0,0.0
0.342,0.019,0.26,0.0,0.076,0.005,0.017,0.036,0.179
0.348,0.015,0.288,0.287,0.174,0.011,0.0,0.259,0.0
0.0,0.0,0.304,0.0,0.0,0.0,0.0,0.251,0.0
0.193,0.288,0.04,0.0,0.026,0.184,0.031,0.0,0.485
0.294,0.005,0.315,0.0,0.242,0.213,0.0,0.0,0.377
0.109,0.309,0.088,0.0,0.056,0.0,0.041,0.036,0.34
0.0,0.0,0.186,0.419,0.0,0.0,0.0,0.234,0.0
0.009,0.032,0.368,0.0,0.32,0.0,0.096,0.001,0.06
0.018,0.311,0.117,0.0,0.0,0.0,0.04,0.012,0.0
0.456,0.016,0.083,0.0,0.222,0.0,0.07,0.01,0.481
0.013,0.316,0.037,0.0,0.206,0.0,0.025,0.284,0.0
0.0,0.255,0.0,0.116,0.0,0.0,0.0,0.01,0.004
0.024,0.267,0.0,0.0,0.0,0.0,0.001,0.071,0.045
0.413,0.0,0.31,0.099,0.257,0.0,0.045,0.0,0.261
0.092,0.261,0.0,0.109,0.315,0.004,0.0,0.122,0.145
0.0,0.003,0.346,0.0,0.332,0.0,0.433,0.0,0.0
0.37,0.0,0.146,0.295,0.259,0.018,0.0,0.244,0.224
0.0,0.285,0.0,0.0,0.036,0.0,0.0,0.0,0.504
0.007,0.275,0.021,0.0,0.0,0.0,0.381,0.0,0.0
0.0,0.267,0.0,0.0,0.005,0.0,0.0,0.044,0.0
0.0,0.287,0.01,0.0,0.0,0.013,0.251,0.221,0.0
0.0,0.284,0.0,0.0,0.0,0.02,0.0,0.0,0.0
0.366,0.025,0.348,0.09,0.319,0.0,0.0,0.343,0.023
0.008,0.027,0.282,0.472,0.179,0.0,0.09,0.011,0.0
0.009,0.018,0.313,0.0,0.0,0.0,0.185,0.009,0.0
0.0,0.0,0.232,0.408,0.0,0.0,0.085,0.0,0.007
0.191,0.287,0.033,0.0,0.172,0.597,0.005,0.0,0.0
0.005,0.315,0.035,0.0,0.336,0.0,0.036,0.273,0.008
0.202,0.249,0.0,0.002,0.194,0.0,0.0,0.095,0.0
0.415,0.02,0.256,0.0,0.0,0.009,0.0,0.0,0.0
